englishName,isPlanet,density,gravity,discoveredBy,discoveryDate,bodyType,bodyId
S/2019 S 6,False,0,0,E.J. Ashton y B.J. Gladman,2019,Moon,337
S/2019 S 7,False,0,0,E.J. Ashton y B.J. Gladman,2019,Moon,338
S/2019 S 8,False,0,0,E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2019,Moon,339
S/2019 S 9,False,0,0,S.S. Sheppard y D.C. Jewitt y E.J. Ashton y B.J. Gladman,2019,Moon,340
S/2020 S 1,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2020,Moon,341
S/2020 S 10,False,0,0,E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2020,Moon,342
S/2020 S 2,False,0,0,E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2020,Moon,343
S/2020 S 3,False,0,0,E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2020,Moon,344
S/2020 S 4,False,0,0,E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2020,Moon,345
S/2020 S 5,False,0,0,E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2020,Moon,346
S/2020 S 6,False,0,0,E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2020,Moon,347
S/2020 S 7,False,0,0,E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2020,Moon,348
S/2020 S 8,False,0,0,S.S Sheppard y D.C. Jewitt y J. Kleyna y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2020,Moon,349
S/2020 S 9,False,0,0,E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2020,Moon,350
S/2006 S 9,False,0,0,S.S. Sheppard,2006,Moon,351
S/2011 J 3,False,0,0,Scott S. Sheppard,2011,Moon,352
S/2016 J 3,False,0,0,Scott S. Sheppard,2016,Moon,353
S/2016 J 4,False,0,0,Scott S. Sheppard,2016,Moon,354
S/2018 J 2,False,0,0,Scott S. Sheppard,2018,Moon,355
S/2018 J 3,False,0,0,Scott S. Sheppard,2018,Moon,356
S/2018 J 4,False,0,0,Scott S. Sheppard,2018,Moon,357
S/2021 J 1,False,0,0,Scott S. Sheppard,2021,Moon,358
S/2021 J 2,False,0,0,Scott S. Sheppard,2021,Moon,359
S/2021 J 3,False,0,0,Scott S. Sheppard,2021,Moon,360
S/2021 J 4,False,0,0,Scott S. Sheppard,2021,Moon,361
S/2021 J 5,False,0,0,Scott S. Sheppard,2021,Moon,362
S/2021 J 6,False,0,0,Scott S. Sheppard,2021,Moon,363
S/2022 J 1,False,0,0,Scott S. Sheppard,2022,Moon,364
S/2022 J 2,False,0,0,Scott S. Sheppard,2022,Moon,365
S/2022 J 3,False,0,0,Scott S. Sheppard,2022,Moon,366
